OLD_SKU,NEW_SKU
SKU-UE3CC2URWM,006.37P
SKU-23BFQ27GU3,010751-DS
SKU-LVEHF4F9GE,022.35-M4
SKU-JJ69V5IYVI,14185-3
SKU-FTYT48VF0O,148RC
SKU-VN94BSO825,149RC
SKU-718VYJ2BHN,151.94.202-H
SKU-XTAROS4KVW,20K1B
SKU-LKHMAFL8JH,20K1T
SKU-VAG5D77U4I,20K200HKS
SKU-ZV1N74SH8S,22K2000
SKU-T5GYL68WZ6,23K2000
SKU-YWBB34LAHZ,262.57.714-MB
SKU-FRUG3I1BKM,282.04.513-BNB
SKU-I57VR9TVC9,282.04.515
SKU-4L9R7SVYME,282.24.720-P
SKU-XYN6BQX7ZA,283.43.101
SKU-YY4CF4J60K,290.36.791-S
SKU-JMZ1PC2D6K,33.3600B
SKU-IDNY1VOTYO,340.40CC
SKU-1HSQC3IYHC,34567-S
SKU-Z8LO9T9TF2,346.22.420-B
SKU-WSFDLVIPHM,372.27.505-G
SKU-50VVUUJCRM,372.27.705-A
SKU-V5IWAE3HRC,372.27.705-W
SKU-JGGJBG93UE,400CARC
SKU-7GHEH545GP,429.89.328-B
SKU-M1D1VPC1B0,545.35.265C
SKU-OETMGFNOE1,560H0000B
SKU-201C4J7HMP,566HPTO
SKU-M8GRU52YA8,578.B
SKU-FX0BDRL6IT,661.HG
SKU-J2TIIC269H,750.S
SKU-95G6VNPRWE,80.3532-D10
SKU-GB8HLRNJFO,833.747-LOOX
SKU-89NSQEM2UJ,84.4120
SKU-5UXEHSB0QV,84.4140
SKU-JQ57C817LT,937.90.100-BW
SKU-PC6P8SVA75,ALC
SKU-142AXXQJYC,ALU-BG
SKU-XJ0UXWWHQA,ALUG
SKU-OUM99DTERW,ASWFL
SKU-K4J8YNH5Y3,BLBCG
SKU-L8CLJ1QP51,BLBCW
SKU-P7RVCPCMO9,BLBFG
SKU-K74Y1ZA0GN,BLBFW
SKU-X8RZQE6MWC,BLBINCGG
SKU-XFK116UZCK,BLBINCGW
SKU-WBFJ2FM9IM,BLBINMG
SKU-C5L26QVLRG,BLBKG
SKU-X4ZBQ4K0E9,BLBKW
SKU-VS7MHQ4HUA,BLBMW
SKU-JLEG6ODGCE,BTABG
SKU-R5LSHMWTF1,BTADDG
SKU-2QNMVZF1MA,BTADG
SKU-HUV03EC6LS,BTADGG
SKU-7KU585HZ21,BTAINDGG
SKU-ZX3IMZ6JWG,BTAINDGW
SKU-HOQBP10PN2,BTAINMG
SKU-OZV438VJG1,BTAKG
SKU-6JUR5BQX4S,BTAKG
SKU-TQAXKRD80F,BTAKW
SKU-ZQLC3CUI4F,BTAMG
SKU-28PRIMG84Y,BTANG
SKU-KIYZA94F25,BTANW
SKU-U79GFSJBM5,DOW810
SKU-L3PUQ0QPU2,EHSR
SKU-6VXJ38QTEF,GU10
SKU-8BCYTKUZHS,GZ-SPOT-1
SKU-DO4BLF0ZHX,HSFFPL
SKU-CUBX8BWH3O,HT1S02
SKU-5HN5PWBD3C,HT1S04
SKU-MNXALN4ZVO,HT1S38
SKU-YL8ZEXXTQV,HT2C05
SKU-ML76FFYAEU,HT4M4
SKU-KJJAYRVOSQ,HT526
SKU-V28ZGYQNQE,HT5K218
SKU-EMY3JMDFOI,HT5K22
SKU-K5JXPSLXM4,HT6D38
SKU-V5BJ32RKOY,KTXS
SKU-NE1EW5AXK7,LD-ZASPROW-30 
SKU-RSWFDC7064,NM-DAK27
SKU-59JLZG9KU8,PB-AXISPRO-KPL
SKU-FL6O995HLO,PD-GAMB0
SKU-V8Z8VHII17,PD-GNEO15
SKU-0G9FDQV8RJ,PK-L-H35
SKU-MWAUG7YA72,PK-L-H45
SKU-DUALX01TUF,PK-P-H45-GX
SKU-D3H8Z5TBMK,PWP-4-6
SKU-BRSJW3W2V2,T60B3
SKU-EEFEXRMCIC,US-SK0
SKU-MQQPYJU9IR,UZ-BAGIO-20M
SKU-3NV0Y5YCLU,WK-CAM-WK-DOW
SKU-5QYPC8ATCA,WOOD
SKU-Y96HR29L3C,XRM4
SKU-ZC5BF0QC39,ZC7U10F0
SKU-T9LU8LAWYD,ZE7W
SKU-Z1D6P63T8I,ZIF.80M
SKU-D2IGORNABU,70.0532
